"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","model_type","seed","GFLOPS","accuracy","best_epoch","best_val_loss","epoch","loss","lr","val_accuracy","wrong_class","val_loss"
"inc6-4","finished","-","jschuetzke","","2022-11-08T00:39:09.000Z","1409","","128","inc6","4","0.3510184615","0.9988800287246704","44","0.007045036181807518","64","0.0028536315076053143","3.000000106112566e-7","0.9962000250816344","13","0.008815706707537174"
"inc6-3","finished","-","jschuetzke","","2022-11-08T00:17:04.000Z","1324","","128","inc6","3","0.3510184615","0.9986799955368042","35","0.009425812400877476","60","0.002832394791767001","3.000000106112566e-7","0.996399998664856","11","0.01089244056493044"
"inc6-2","finished","-","jschuetzke","","2022-11-07T23:58:32.000Z","1110","","128","inc6","2","0.3510184615","0.997759997844696","25","0.006410480476915836","50","0.004042394924908876","3.000000106112566e-7","0.9972000122070312","11","0.006706011015921831"
"inc6-1","finished","-","jschuetzke","","2022-11-07T23:33:58.000Z","1472","","128","inc6","1","0.3510184615","0.9990400075912476","42","0.009345706552267076","67","0.002414093120023608","3.000000106112566e-7","0.9965999722480774","10","0.010609658434987068"
"inc6-0","finished","-","jschuetzke","","2022-11-07T23:13:38.000Z","1218","","128","inc6","0","0.3510184615","0.9986799955368042","30","0.007026001811027527","55","0.003109846729785204","3.000000106112566e-7","0.9965999722480774","12","0.007993839681148529"
"inc3-4","finished","-","jschuetzke","","2022-11-07T23:01:05.000Z","751","","128","inc3","4","0.206477326","0.9994000196456908","30","0.011222626082599165","55","0.0015467272605746984","0.000003000000106112566","0.9954000115394592","17","0.012410342693328856"
"inc3-3","finished","-","jschuetzke","","2022-11-07T22:48:58.000Z","725","","128","inc3","3","0.206477326","0.9990400075912476","28","0.010592875070869924","53","0.002699315780773759","3.000000106112566e-7","0.9954000115394592","19","0.011449313722550867"
"inc3-2","finished","-","jschuetzke","","2022-11-07T22:36:25.000Z","751","","128","inc3","2","0.206477326","0.9991999864578248","30","0.011762957088649271","55","0.0018002070719376206","0.000003000000106112566","0.9950000047683716","20","0.016412202268838882"
"inc3-1","finished","-","jschuetzke","","2022-11-07T22:21:54.000Z","869","","128","inc3","1","0.206477326","0.9990000128746032","39","0.00996494758874178","64","0.0022594472393393517","3.000000106112566e-7","0.9959999918937684","18","0.011728402227163317"
"inc3-0","finished","-","jschuetzke","","2022-11-07T22:06:00.000Z","952","","128","inc3","0","0.206477326","0.9989200234413148","45","0.01000586710870266","70","0.002404984552413225","3.000000106112566e-7","0.9958000183105468","12","0.0127080911770463"
"cnn_bn-4","finished","-","jschuetzke","","2022-11-07T21:58:35.000Z","443","","128","cnn_bn","4","0.111866804","0.9990400075912476","40","0.0378325879573822","65","0.0028572839219123125","3.000000106112566e-7","0.9936000108718872","50","0.039643049240112305"
"cnn_bn-3","finished","-","jschuetzke","","2022-11-07T21:49:36.000Z","537","","128","cnn_bn","3","0.111866804","0.9995200037956238","54","0.03437945619225502","79","0.0013228821335360408","3.000000106112566e-7","0.9940000176429749","49","0.036622319370508194"
"cnn_bn-2","finished","-","jschuetzke","","2022-11-07T21:43:35.000Z","360","","128","cnn_bn","2","0.111866804","0.9988399744033812","27","0.029567072167992592","52","0.00521789351478219","3.000000106112566e-7","0.9936000108718872","44","0.03258615732192993"
"cnn_bn-1","finished","-","jschuetzke","","2022-11-07T21:36:01.000Z","452","","128","cnn_bn","1","0.111866804","0.998960018157959","41","0.03208348527550697","66","0.003423432121053338","3.000000106112566e-7","0.9944000244140624","33","0.034816306084394455"
"cnn_bn-0","finished","-","jschuetzke","","2022-11-07T21:30:19.000Z","341","","128","cnn_bn","0","0.111866804","0.9984800219535828","24","0.03721200302243233","49","0.0049326857551932335","3.000000106112566e-7","0.9929999709129332","45","0.04263574630022049"
"resnet-4","finished","-","jschuetzke","","2022-11-07T20:45:15.000Z","2702","","128","resnet","4","0.98838116","0.9995200037956238","21","0.009891536086797714","46","0.001305344863794744","3.000000106112566e-7","0.9955999851226808","22","0.011533459648489952"
"resnet-3","finished","-","jschuetzke","","2022-11-07T19:58:42.000Z","2792","","128","resnet","3","0.98838116","0.9996399879455566","23","0.010293363593518734","48","0.0009022660087794064","3.000000106112566e-7","0.9958000183105468","22","0.014363761991262436"
"resnet-2","finished","-","jschuetzke","","2022-11-07T19:15:50.000Z","2571","","128","resnet","2","0.98838116","0.9995999932289124","19","0.010939588770270348","44","0.001394052291288972","3.000000106112566e-7","0.9955999851226808","20","0.014384365640580654"
"resnet-1","finished","-","jschuetzke","","2022-11-07T18:25:07.000Z","3042","","128","resnet","1","0.98838116","0.9998000264167786","27","0.01237931288778782","52","0.0007719753193669021","3.000000106112566e-7","0.996399998664856","20","0.01291813049465418"
"resnet-0","finished","-","jschuetzke","","2022-11-07T17:34:22.000Z","3043","","128","resnet","0","0.98838116","0.9997599720954896","27","0.01261234749108553","52","0.0009214224410243332","3.000000106112566e-7","0.9954000115394592","22","0.013600315898656843"
"vgg-4","finished","-","jschuetzke","","2022-11-07T17:28:56.000Z","324","","128","vgg","4","0.036076527","0.996999979019165","61","0.014678692445158958","86","0.005676019936800003","3.000000106112566e-7","0.9944000244140624","16","0.015416511334478855"
"vgg-3","finished","-","jschuetzke","","2022-11-07T17:22:19.000Z","396","","128","vgg","3","0.036076527","0.997319996356964","81","0.015972483903169632","106","0.005725662223994732","3.000000248221113e-8","0.9936000108718872","16","0.015973364934325218"
"vgg-2","finished","-","jschuetzke","","2022-11-07T17:17:01.000Z","316","","128","vgg","2","0.036076527","0.997759997844696","59","0.01396082155406475","84","0.004465470090508461","3.000000106112566e-7","0.9936000108718872","26","0.014429532922804356"
"vgg-1","finished","-","jschuetzke","","2022-11-07T17:08:16.000Z","524","","128","vgg","1","0.036076527","0.9971200227737428","134","0.01699448935687542","141","0.005869310814887285","3.000000248221113e-8","0.9936000108718872","31","0.017009183764457703"
"vgg-0","finished","-","jschuetzke","","2022-11-07T17:01:28.000Z","406","","128","vgg","0","0.036076527","0.997319996356964","84","0.015685878694057465","109","0.005595656577497721","3.000000248221113e-8","0.993399977684021","19","0.015973255038261414"
"cnn6-4","finished","-","jschuetzke","","2022-11-07T16:32:35.000Z","1731","","128","cnn6","4","0.543382786","0.9939600229263306","65","0.006033727899193764","89","0.016697272658348083","3.000000106112566e-7","0.9976000189781188","7","0.006291447672992945"
"cnn6-3","finished","-","jschuetzke","","2022-11-07T16:02:33.000Z","1800","","128","cnn6","3","0.543382786","0.994599997997284","70","0.005692719016224146","93","0.01384766586124897","3.000000106112566e-7","0.9977999925613404","12","0.006052460055798292"
"cnn6-2","finished","-","jschuetzke","","2022-11-07T15:33:07.000Z","1764","","128","cnn6","2","0.543382786","0.9941999912261964","67","0.005895094480365515","92","0.01607058197259903","3.000000106112566e-7","0.9976000189781188","9","0.00596798537299037"
"cnn6-1","finished","-","jschuetzke","","2022-11-07T15:04:51.000Z","1695","","128","cnn6","1","0.543382786","0.9944400191307068","62","0.0057296170853078365","87","0.016188528388738632","3.000000106112566e-7","0.998199999332428","8","0.005929784383624792"
"cnn6-0","finished","-","jschuetzke","","2022-11-07T14:26:21.000Z","2308","","128","cnn6","0","0.543382786","0.995519995689392","94","0.005728532560169697","119","0.011835598386824133","3.000000106112566e-7","0.9973999857902528","6","0.0060937111265957355"
"cnn3-4","finished","-","jschuetzke","","2022-11-07T14:18:34.000Z","465","","128","cnn3","4","0.145811282","0.9990000128746032","34","0.012628750875592232","59","0.002382136881351471","0.000003000000106112566","0.9944000244140624","25","0.014400587417185308"
"cnn3-3","finished","-","jschuetzke","","2022-11-07T14:09:33.000Z","540","","128","cnn3","3","0.145811282","0.998960018157959","44","0.013162024319171906","69","0.0023358208127319813","3.000000106112566e-7","0.995199978351593","25","0.014682902954518797"
