##NAMES=Analcime
##RRUFFID=R060023
##IDEAL CHEMISTRY=NaAlSi_2_O_6_&#183;H_2_O
##LOCALITY=Dallas, Oregon, USA
##OWNER=RRUFF
##SOURCE=Bob Downs
##DESCRIPTION=White trapezohedral crystal associated with levyne-Na, R060021
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060023
##MEASURED CHEMISTRY=(Na_0.98_[box]_0.02_)_Σ=1_(Si_2.02_Al_0.98_)O_6_·H_2_O
##CELL PARAMETERS=a: 13.7213(7) b: 13.7213(7) c: 13.722(2) alpha: 90 beta: 90 gamma: 90 volume: 2583.6(0) crystal system: tetragonal
5, 32
5.01, 31
5.02, 26
5.03, 48
5.04, 37
5.05, 31
5.06, 41
5.07, 32
5.08, 31
5.09, 31
5.1, 33
5.11, 35
5.12, 25
5.13, 38
5.14, 37
5.15, 36
5.16, 45
5.17, 31
5.18, 40
5.19, 35
5.2, 36
5.21, 39
5.22, 36
5.23, 34
5.24, 30
5.25, 26
5.26, 28
5.27, 33
5.28, 30
5.29, 40
5.3, 27
5.31, 33
5.32, 39
5.33, 27
5.34, 35
5.35, 42
5.36, 39
5.37, 38
5.38, 30
5.39, 49
5.4, 45
5.41, 34
5.42, 38
5.43, 39
5.44, 43
5.45, 34
5.46, 35
5.47, 29
5.48, 34
5.49, 28
5.5, 35
5.51, 41
5.52, 32
5.53, 35
5.54, 39
5.55, 36
5.56, 40
5.57, 40
5.58, 34
5.59, 35
5.6, 31
5.61, 42
5.62, 35
5.63, 40
5.64, 33
5.65, 34
5.66, 37
5.67, 46
5.68, 41
5.69, 38
5.7, 36
5.71, 41
5.72, 38
5.73, 44
5.74, 44
5.75, 35
5.76, 36
5.77, 33
5.78, 41
5.79, 37
5.8, 40
5.81, 40
5.82, 35
5.83, 32
5.84, 39
5.85, 48
5.86, 36
5.87, 31
5.88, 32
5.89, 33
5.9, 39
5.91, 46
5.92, 32
5.93, 37
5.94, 44
5.95, 26
5.96, 34
5.97, 36
5.98, 37
5.99, 34
6, 33
6.01, 29
6.02, 25
6.03, 25
6.04, 37
6.05, 38
6.06, 44
6.07, 33
6.08, 41
6.09, 25
6.1, 31
6.11, 21
6.12, 30
6.13, 36
6.14, 27
6.15, 34
6.16, 40
6.17, 28
6.18, 28
6.19, 35
6.2, 16
6.21, 26
6.22, 26
6.23, 21
6.24, 29
6.25, 25
6.26, 21
6.27, 23
6.28, 23
6.29, 15
6.3, 25
6.31, 24
6.32, 18
6.33, 27
6.34, 23
6.35, 27
6.36, 35
6.37, 16
6.38, 21
6.39, 17
6.4, 24
6.41, 22
6.42, 14
6.43, 20
6.44, 20
6.45, 29
6.46, 21
6.47, 26
6.48, 23
6.49, 24
6.5, 23
6.51, 17
6.52, 22
6.53, 23
6.54, 25
6.55, 22
6.56, 22
6.57, 30
6.58, 27
6.59, 23
6.6, 29
6.61, 20
6.62, 19
6.63, 18
6.64, 26
6.65, 30
6.66, 15
6.67, 24
6.68, 27
6.69, 22
6.7, 27
6.71, 25
6.72, 25
6.73, 23
6.74, 16
6.75, 20
6.76, 26
6.77, 22
6.78, 25
6.79, 27
6.8, 28
6.81, 18
6.82, 19
6.83, 21
6.84, 15
6.85, 17
6.86, 34
6.87, 15
6.88, 16
6.89, 26
6.9, 19
6.91, 14
6.92, 26
6.93, 19
6.94, 16
6.95, 25
6.96, 22
6.97, 26
6.98, 28
6.99, 22
7, 23
7.01, 18
7.02, 20
7.03, 26
7.04, 20
7.05, 21
7.06, 18
7.07, 23
7.08, 30
7.09, 35
7.1, 17
7.11, 23
7.12, 18
7.13, 15
7.14, 25
7.15, 26
7.16, 15
7.17, 29
7.18, 18
7.19, 22
7.2, 22
7.21, 19
7.22, 18
7.23, 37
7.24, 26
7.25, 22
7.26, 20
7.27, 16
7.28, 19
7.29, 17
7.3, 19
7.31, 13
7.32, 19
7.33, 20
7.34, 17
7.35, 15
7.36, 14
7.37, 18
7.38, 12
7.39, 14
7.4, 18
7.41, 21
7.42, 17
7.43, 29
7.44, 18
